Date,Stars,Reviews,BankName
18-07-2016,5,"Adam was great to work with during our refi! His attention to detail made this a smooth and easy transaction. It has been several years since we've gone thru the home loan process and we were unsure where to start. After talking with Adam, we were confident he was the one to help us with our refi. He was professional, helpful, very knowledgeable about the loan process and answered all of our questions in a timely manner. I would highly recommend Adam and would not hesitate to work with him agai",North American Savings Bank
10-04-2017,5,"Great website, knowledgeable, responsive and always got back to us quickly with answers to our questions. Mortgage process can be very tedious and they made it easy.",North American Savings Bank
09-05-2017,5,"We received offers from multiple banks after our lending tree request for a mortgage. Alex Madewell from NASB was by far the best offer. He made the entire process easy and was very knowledgeable. The closing on this home was seamless, no surprises. I would definitely recommend Alex Madewell and NASB to anyone looking for a mortgage.",North American Savings Bank
30-01-2016,5,Rob was very helpful in getting this loan closed. Few issues on our end we didn't know about but he was still able to get it done on time.,North American Savings Bank
23-01-2016,5,Peter and his team were great to work with. They were professional and prompt with their responses. They answered all my questions and somehow got us to closing on time despite various roadblocks we encountered.,North American Savings Bank
05-05-2016,5,"Adam came highly recommended and from the first time we spoke with him, it was clear why. He was friendly, professional, knowledgeable, and worked hard to ensure we were taken care of in all aspects. Beyond the necessary effective communication skills, he brought a personal touch after we closed by sending us a hand written note of congratulations. I will recommend him to everyone I know buying a house.",North American Savings Bank
09-05-2017,1,"The closing process for a VA loan went smoothly. But the loan servicing by this so-called bank is a complete disaster. I set up our loan for automatic payments using their clunky website. Unlike other banks with which I do business, the NASB website is not intuitive and does not provide confirmation for your entries. For the first 10 months, payments were automatically debited from my external account as scheduled. However, when the escrow amount changed, NASB debited the old amount from my account and sent a deficiency letter for the balance -- unlike every other bank I have used in which the amount of the debit was automatically debited. NASB sent me a ""credit counseling letter"" telling me that they did not apply any of the loan payment and would charge me a late payment over double the deficiency of $40 and change .... and suggested credit counseling services. When I called their servicing department, the representative told me the letter was sent in error and that everything had been adjusted so my account was showing that it was current. Two weeks later, I received a total of two voice mail messages and an e-mail in a span of 20 minutes from NASB's default department. The woman with whom I first spoke was rude, said she showed no record of my earlier call, it was my problem, and then hung up on me. The second agent, a man in their default department, said that he did not show that I had made any automatic payments and that NASB's system was not set up to adjust anything. After having over 25 years of mortgage payments with various banks, I have never experienced such incompetence and rude service. I specifically instructed the last agent to request that they sell servicing of our loan to another bank that is capable of actually performing customer service for a veteran ",North American Savings Bank
13-08-2017,1,Miserable experience. They screwed up everything imaginable and never accepted responsibility for any of their errors. I wouldnt recommend them for the purchase of a doghouse much less purchasing a new home.,North American Savings Bank
24-12-2017,1,"Our loan officer was happy to communicate before we committed. Once we committed he only communicated with us AFTER I questioned items and problems and AFTER I questioned why we weren't settling before our rate lock expired. We had no idea where we were in the process unless I contacted Steve. Poor, poor communication. Mr. Kang also was ""sure"" our house would appraise for $30k more than our house did, talking us into a loan that we didn't end up appraising for and then causing us to have to refinance at only .4% lower than our current mortgage. Our appraiser was disorganized and called twice for pictures he forgot. He used poor comps. We were contacted several times to look at documents that were expired before we could even sign on (within minutes of the email notifications). Only good was the actual settlement with a very sweet and competent notary (and thank goodness we were done). Poor process, poor communication - we will NEVER recommend NASB and I have already told two people refinancing to steer clear. ",North American Savings Bank
10-02-2017,1,"Started refinance with Nick things were going OK then there was a problem with a credit card fro 5 years earlier, which must of made the loan not possible. This I would of understood, But I never heard from them again? called Nick several times no response? I even called his supervisor no response? E-Mailed them no response? IS THIS THE COMPANY YOU WANT TO DUE BUSNESS...",North American Savings Bank
20-05-2016,1,"This loan started off quite well. Our rep, Donna, was friendly and quick to respond to questions. She clearly explained how things would unfold, and it all sounded great. What I didn't count on was that the Bank never kept a single promise she made. I had the same problem with this Bank 15 or more times. I would ask for assurance about something, Donna would respond that things would be completed as I wished, and her promise was violated by the Bank EVERY SINGLE TIME. For example, in our first or second conversation, I explained to Donna that my wife would be traveling out of the country 11 weeks after beginning the loan process. Would it be a problem to get the loan closed before that? Not at all, she said. We should close several weeks before my wife's departure. 11 weeks later, the Bank was not ready to close. How did that happen? Donna would ask us to email documentation, which we would email back within 2-12 hours, depending on the occasion. Donna would then assure us that the documentation that we sent her was great, and the Bank had everything it needed. Then, weeks later, they would ask for additional documentation. This happened 5 or more times. Later in the process, they asked for repeats of earlier documentation because the earlier documentation that had I provided was now ""too old."" I cannot tell if this patterns recured because the Bank doesn't care about customers, or because it is just incompetent. Every time we complained about additional requests or some promise that wasn't kept, Donna told us that our complaints were justified and she was sorry. But she was unable or unwilling to rectify the broken promises. We finally closed 13 weeks or so after our initial application. I can only imagine how long the process would have taken if we had not responded to every request from the Bank on the day they made it, and if we hadn't pushed hard to get this deal done. This Bank treats customers with complete disrespect. As someone who has owned several properties in my life and has received more than 10 home mortgages from different banks, I can honestly say that this is the worst mortgage experience I've ever had. You owe it to yourself to work with another Bank that is more professional and more respectful of customers. If I could, I'd rate this Bank lower than one star",North American Savings Bank
29-02-2016,1,"This Lender contacted my previous phone number which I did not list when registering with this site. Very unprofessional, and very disturbing.",North American Savings Bank
13-11-2016,1,I never write reviews but had to this time to prevent anyone from making the same mistake as I. That mistake was using North American Savings Bank over other lenders. I started my refinance with this company with the assurance that it would be a standard refinance without any problems and would be completed in a minimal amount of time. Communication with the company w... ,North American Savings Bank
15-01-2016,1,"It all started when Bob G ran a credit check without my knowledge or consent. When I agreed to use NASB, Bob told me that they could close in less than 4 weeks...it took 9. The day before closing they were still asking for paperwork. The day of closing (while my household goods were being unpacked) I was told a Power of Attorney could not be used. I had to fly to ID (where my wife was) take the docs to a notary and Fedex them back. I also had to get a bank check to send with the docs because they wouldn't accept a personal check. Then five days later (while driving from ID to NC) I had to coordinate having closing docs (which I already sent to them) from the sale of my other home sent to me so I could send to them. Of the four houses I purchased in the past 9 years this was the most stressful Read Less",North American Savings Bank
05-12-2016,1,"What a horrible experience. We have excellent credit, plenty of income, etc. NASB rep made tons of promises to get us to sign up, but then just a few weeks before the closing, she just disappeared, and failed to give us a lock or firm closing date! Thankfully, we sensed the problems and immediately contacted a local lender that got us the loan on better terms with low... ",North American Savings Bank
12-09-2017,1,"Rep was extremely professional, friendly, and helpful when we first spoke. In fact, from my initial round of calls, I thought I was going to select him out of the five Lending Tree lenders (plus two banks I talked to directly). But then when I sent an email to all the lenders saying ""OK, the contract is signed. I want to select a lender and lock my rate TOMORROW, so please send me your best current rate and fees etc. with these EXACT loan parameters. It took the rep from NASB over a week to respond. So I replied to him ""thanks but you are too late, I have selected someone else and already locked my rate."" Over the following few weeks I continued to receive emails from him saying ""when you are ready to proceed with your loan, let me know"". We CLOSED on January 8th, and on February 5th I got another such email. I guess he didn't really ever read my emails. I also told him on the phone that he had missed the boat, but that seemed to fall on deaf ears too. At the end of round one, his rates and fees were VERY competitive though - pretty near the best of the bunch",North American Savings Bank
02-11-2017,1,I was working with a loan consultant from NASB and she told me that she would give me a rate of 4.875% for a 30 year fixed loan with a total closing cost of $2300. I asked her to send me the good faith estimate. The good faith estimate came with a total closing cost of $2929 which is about $600 more than she mentioned during our conversation. When I called her for exp... ,North American Savings Bank
26-10-2017,5,"
She, in every way, is a wonderful person, business woman and 100% considerate of your goals and helping you achieve them.  She went about and beyond in helping me make good decisions as well as educate me on options.  I could not have been more happy to connect with her during this process and will definitely use her again in the future if needed. 
        ",Reliance First Capital
24-02-2017,5,"
Mary Connolly and her staff as well as upper management were nothing but helpful during the entire process.  Mary is a special lady, she took her time with me, understood my goals and helped me achieve them.  She never made me feel uncomfortable or nervous about our situation and was always available to help when I needed her.  If she did not have the answer she found it for me. These are wonderful people to work with... Read More
        ",Reliance First Capital
20-12-2016,5,"
Thanks to Reliance Capital for helping us get through what we thought would be a difficult if not impossible refinance.  We've had some credit issues in the past but lately we've been working hard on improving our scores.  We are happy that Reliance Capital was able to work with us and help guide us throughout the process despite our less than stellar financial situation.  Thanks especially to Patrick G for his excellent customer service and reassurance each step of the way... Read More
        ",Reliance First Capital
24-05-2017,5,"
We were initially pretty skeptical about refinancing our home.  We’ve had personal and family issues that devastated our credit to the point where we felt that it would be a waste of time since we’d never be approved.  However, a real need arose when Dad’s declining health demanded we make room in our home so we can keep him close to us and give him the care he needs.  We weren’t sure what to expect from Patrick G at Reliance, but we were soon reassured and thoroughly delighted when Pat informed us that we were eligible and that he’d walk us through the entire process personally!  There simply are no superlatives sufficient to thank you for your fantastic guidance in getting our home refinanced!  You took what we assumed would be a challenging home refinance and successfully navigated us through the process to a successful conclusion.  In every single step, you proved to be friendly, patient, polite, knowledgeable, professional and consistently available to us.   We can't remember the last company we dealt with that returned calls and emails in such a timely manner!  You even personally called on weekends when there were items that needed our attention!  What more can a person ask for in a mortgage broker?  I will happily and enthusiastically recommend you to others.  Thanks Patrick for all your support and assistance... Read More
        ",Reliance First Capital
02-11-2017,5,"
Genna Englert provided excellent service. The process was very smooth and fast! My husband and I would recommend Reliance First Capital to everyone!
        ",Reliance First Capital
17-05-2017,5,"
Ritu was a pleasure to work with. She was positive, energetic and knowledgeable. She was willing to help run through several different options to make sure we were happy with our plan. She helped us see the process through from beginning to end. I would work with her again.
        ",Reliance First Capital
27-05-2016,5,"
Reliance was a pleasure to work with on my refinancing. With all the documents provided, we went from the start to closing in just a few weeks (with me on vacation for 1 week in the middle). I would do business with them again. A special mention to Ritu, who was a delight and helped keep our processing moving quickly.
        ",Reliance First Capital
04-10-2017,5,"
Very receptive
Thorough
Quick to close
        ",Reliance First Capital
11-10-2017,5,"
Easy, going the extra mile and overcoming obstacles.  Truthful, honest and dependable.  Very professional and friendly.
        ",Reliance First Capital
22-07-2017,5,"
New Federal regulations made this a tedious and time consuming process. Closing costs seemed a bit high. Seemed like I spent a lot of time explaining the obvious.
        ",Reliance First Capital
10-07-2016,5,"
Very informative, and responsive
        ",Reliance First Capital
11-01-2017,5,"
Tim Pope was very informative throughout the process from beginning to end.  Unlike other lenders he made this a very pleasure able experience, thanks Tim.
        ",Reliance First Capital
17-02-2017,5,"
It was fast easy and did not have to leave the comforts of our home... Steven Shatz was so friendly and helped us at every turn... I would recommended to everyone that needs financing to go through this company.. 
        ",Reliance First Capital
29-10-2016,5,"
Working with our agent was quick and very simple. We had to do very little and things were completed well and we were very pleased with the service and result we received.
        ",Reliance First Capital
13-04-2016,5,"
Teddy represents his company very well. He is communicative, patient, hard-working and gets the job done. 
        ",Reliance First Capital
22-07-2017,5,"
Teddy Ferrell and Binh Lai were excellent team members. Teddy explained everything from beginning to end and was very honest and up front with all that was required for my transactions to take place. He answered all of my calls and emails in a very timely manner. Very professional with excellent communication
        ",Reliance First Capital
17-02-2017,5,"
Thank you for all of your help Kelly! Your patience and kindness in assisting us with our loan is greatly appreciated! Look forward to working again together in the future! 
        ",Reliance First Capital
28-11-2016,5,"
Kelly & Rasool were extremely helpful! It was a stressful time for me and my family and they made us feel taken care of and really cared about helping us! Thank you Again! I will be referring them to family and friends in the future!
        ",Reliance First Capital
27-09-2017,5,"
From the very first conversation that I had with Steve, I knew that he understood our situation perfectly and he was able to help us achieve our dream of home ownership. We were given very realistic expectations from the beginning and Steve kept in touch with us throughout the process. It was a relief to work with someone who gave us accurate information and didn't string us along.... Read More
        ",Reliance First Capital
31-08-2016,5,"
The staff was very friendly and great to work with.  They kept me well informed throughout the process
        ",Reliance First Capital
16-08-2016,5,"
Very informative, and responsive
        ",Reliance First Capital
19-09-2017,5,"
Tim Pope was very informative throughout the process from beginning to end.  Unlike other lenders he made this a very pleasure able experience, thanks Tim.
        ",Reliance First Capital
13-04-2016,5,"
It was fast easy and did not have to leave the comforts of our home... Steven Shatz was so friendly and helped us at every turn... I would recommended to everyone that needs financing to go through this company.. 
        ",Reliance First Capital
06-02-2016,5,"
Working with our agent was quick and very simple. We had to do very little and things were completed well and we were very pleased with the service and result we received.
        ",Reliance First Capital
02-11-2017,5,"
Teddy represents his company very well. He is communicative, patient, hard-working and gets the job done. 
        ",Reliance First Capital
04-10-2017,5,"
Teddy Ferrell and Binh Lai were excellent team members. Teddy explained everything from beginning to end and was very honest and up front with all that was required for my transactions to take place. He answered all of my calls and emails in a very timely manner. Very professional with excellent communication
        ",Reliance First Capital
19-10-2017,5,"
Thank you for all of your help Kelly! Your patience and kindness in assisting us with our loan is greatly appreciated! Look forward to working again together in the future! 
        ",Reliance First Capital
11-03-2017,5,"
Kelly & Rasool were extremely helpful! It was a stressful time for me and my family and they made us feel taken care of and really cared about helping us! Thank you Again! I will be referring them to family and friends in the future!
        ",Reliance First Capital
22-03-2016,5,"
From the very first conversation that I had with Steve, I knew that he understood our situation perfectly and he was able to help us achieve our dream of home ownership. We were given very realistic expectations from the beginning and Steve kept in touch with us throughout the process. It was a relief to work with someone who gave us accurate information and didn't string us along.... Read More
        ",Reliance First Capital
31-08-2016,5,"
The staff was very friendly and great to work with.  They kept me well informed throughout the process
        ",Reliance First Capital
31-05-2017,5,"
It was a pleasure working with Robert.  From the very first call he kept me well informed of every step of my refinancing.  He also made sure that I understood everything completely.  He was fast in responding and helping with any questions I had. 
        ",Reliance First Capital
23-01-2016,5,"
My loan officer was Jim Heisser, he was fantastic. From day one he was right on the case. He called daily to let me know how the process was going. Every day we talked-I felt like I was talking to a friend-and we became friends. Jim talked me through til the closing and was informative regarding all things refi. The closing went off as scheduled just as Jim said it would. The guy was right on the money when it came to every detail and has called to make sure things are still going along the right path 
Don't let this guy go-he is the best I've ever dealt with. ... Read More
        ",Reliance First Capital
17-05-2017,5,"
Steven did a  phenomenal job working with me to locate a refinance that worked for me and my family. I would highly recommend Steven and will recommend my friends and family to him as well. Steven worked tirelessly to ensure that I was completely satisfied and kept in the loop on my loan process everyday. 
        ",Reliance First Capital
06-02-2016,5,"
I was looking for a way to consolidate my current debt when I submitted a loan request to Lending Tree. I received an email from Steven Shatz and decided to give him a call to see what he could offer based on his reviews on Lending Tree. Once we started talking I knew that he was willing to work with me to get my best option on the table. We settled and closed fairly quickly and he worked through a few issues with me right by my side. He was always a phone call, text or email away and never delayed in returning my messages. I would highly recommend not only Reliance First Capital but Steven Shatz for all your mortgage needs.... Read More
        ",Reliance First Capital
04-03-2017,5,"
Robert was the best person to do our loan almost makes us wish we could do this again. No just kidding, but he was an amazing person who was concerned and wanted to do whatever he could to make our experience as painless as possible.  We would truely recommend him to friends and family.
Thanks again Robert
        ",Reliance First Capital
29-02-2016,5,"
Words cannot express my gratitude for John Spellman.  He was absolutely amazing from day one.  He treated me as if I was his only client, although I know I wasn't.  I am sure he did not get paid what he deserved in working with me.  I cannot say enough about him and I think Reliance is extremely lucky to have him!  His patience, understanding, amazing service, and knowledge exceeded my expectations beyond measure!  My approval and closing went so quickly that my head was almost spinning... Read More
        ",Reliance First Capital
19-10-2017,5,"
Everyone I was in contact with at Reliance we knowledgeable, professional,
and worked with me to answer any questions.  Had a problem in the course
of my application that was dealt with quickly and was solved .  I would recommend Reliance to anyone.
        ",Reliance First Capital
05-04-2016,5,"
After spending 8 months trying to complete an application for a loan with little or no success, I found Patrick at Reliance.  I was kept informed on a
regular basis of what was happening, what was needed and the time line for closing.  Great experience.
        ",Reliance First Capital
11-03-2017,5,"
Wesley White worked tirelessly and patiently to get our loan approved and closed despite our several obstacles and challenges. He was very responsive, reassuring, and encouraging. Even if you have a complicated situation, you can trust him to work as hard as possible to help you meet your goals. We would definitely call on him again for all of our lending needs.
        ",Reliance First Capital
10-07-2016,5,"
Very professional and answered and returned calls very fast! Great communication with the whole process! 
        ",Reliance First Capital
01-01-2018,1,"
Buyer beware!! To make it short and sweet, shop around and find someone who knows what they are talking about. 
There were certain expenses that I had to pay before closing, but was assured I would get a refund, or Reliance would pay for it and it would reflect in the final closing documents. This did not happen. 
Termite inspection required by VA, was $100+. I was told I would get this back. Nope. Her answer, 'Oh, the rules changed some time back, and I didn't know about it'. 
Was also told, if it closed late, which it did, Reliance would pick up the late fee for my present mortgage which she told me not to pay. Yep, they paid it, with my proceeds!!
Then to pay off the loan, which was the reason for the refinance, they send me a check payable to the lender, and then I have to overnight it to the lender so i don't get hit with another late fee. WHY??? Could't they just do an electronic payment.  
Not happy... Read More
        ",Reliance First Capital
15-09-2016,1,"
The team was not aware of some critical information which delayed my refinancing for several months.  Finally upon completion which was also several weeks later than promised, the pay off checks to my creditors were all wrong, due to late fees and next payments.  Chris Thomas was very cordial and forthcoming.  He stayed in constant contact, but overall  the company and its delays and incorrect balances, due to delays would make it impossible for me to recommend the company as a whole... Read More
        ",Reliance First Capital
22-07-2017,1,"
In response to previous review, Greg Bellezza and Reliance Capital did refund my appraisal fee.
        ",Reliance First Capital
07-07-2017,1,"
If you use Reliance First Capitol...DO NOT LET KENNETH WATSON ...help you.I was so frustrated with him,He is so arrogant...every time we talked he would always say..let me call you back in about 5 or 10 minutes...I wouldnt hear from him for a couple of days,and this happened probably 8 to 10 times..It wasnt all extremely bad,we did have to raise my credit score which took probably a month,but it took a little over 3 months to get everything said and done,then he lost some of my paper work,we had to get that redone,Then,I also had my motorcycle added(consolidation)..It was supposed to be a 100 percent payoff,well I didnt get all the money to pay my bike off,again..let me call the title Company and ILL call you back in 5 or 10 min..didnt hear from him..so I called back the next day..""WHAT... Read More
        ",Reliance First Capital
19-09-2017,1,"
Reliance First Capital was very professional and did what they said they would do. In this day and age that is very rare. It made it a pleasure doing business with them. I couldn't be more pleased. Thanks !!!
        ",Reliance First Capital
29-07-2017,1,"
I thought they seemed very nice at first. played phone tag then got a letter in the mail stateing that I was not interested so they would not do anything more on my file. I left messages andd emailed that that was incorrect. Have not heard from them since. Maybe they should have said they were not interested. Im in dier straights and need help.
        ",Reliance First Capital
